nome,citta,email,codice_miur,sito_web,metodo,distanza_km,email_inviata
Liceo scientifico Isacco Newton,Roma,rmps17000l@istruzione.it,,https://www.liceonewtonroma.it/,Web Scraping (Sicura),0.35,SI
Istitituto tecnico industriale Galilelo Galilei,Roma,rmtf090003@istruzione.it,,https://www.itisgalilei.edu.it/,OSM Tags (Sicura),0.45,SI
Scuola primaria Giosuè Carducci,Roma,rmic825008@istruzione.it,,https://www.icmmastroianni.edu.it/,Web Scraping (Sicura),0.49,SI
Liceo classico Bertrand Russell,Rome,rmpc48000p@istruzione.it,,https://www.liceorussellroma.edu.it/luoghi?id=213,Web Scraping (Sicura),0.51,SI
Scuola Federico Di Donato,Roma,rmic81400t@istruzione.it,,https://danielemanin.edu.it/,Web Scraping (Sicura),0.52,SI
Vittorio Central Mosque,Rome,srchhpgusr@istruzione.it,SRCHHPGUSR,,Ricostruzione MIUR (Probabile),0.59,SI
Istituto Santa Maria,Roma,segreteria@istitutosantamaria.com,,https://www.istitutosantamaria.com/,OSM Tags (Sicura),0.61,SI
Istituto Professionale Via Acireale,Rome,srchhpgusr@istruzione.it,SRCHHPGUSR,,Ricostruzione MIUR (Probabile),0.7,SI
Istituto Europeo di Design,Roma,ariannaiannone@2x.avif,,https://www.ied.it/roma,Web Scraping (Sicura),0.71,SI
Pontificia Universitas Antonianum,Roma,srchhpgusr@istruzione.it,SRCHHPGUSR,,Ricostruzione MIUR (Probabile),0.71,SI
Università La Sapienza - Facoltà di Medicina e Psicologia,Roma,srchhpgusr@istruzione.it,SRCHHPGUSR,https://web.uniroma1.it/fac_medpsico/,Ricostruzione MIUR (Probabile),0.73,SI
Collegio S. Antonio,Rome,srchhpgusr@istruzione.it,SRCHHPGUSR,,Ricostruzione MIUR (Probabile),0.74,SI
Liceo classico Niccolò Machiavelli,Roma,srchhpgusr@istruzione.it,SRCHHPGUSR,http://www.ismachiavelli.eu/pags/?page=cover,Ricostruzione MIUR (Probabile),0.74,SI
